client_id,age_bins,client_age,sex,sales,nb_orders,nb_prod,date_first_order,month_first_order,active_days,active_month,avg_order_value,freq_orders,nb_prod_order
c_1,"(65, 71]",67,m,300.6500000000001,15,20,2021-06-11 21:02:39.382765,2021-06,262 days 02:57:18.657707000,8.733333333333333,20.04333333333334,1.717557251908397,1.3333333333333333
c_10,"(65, 71]",66,m,586.1800000000001,16,28,2021-03-21 02:50:16.551727,2021-03,344 days 21:09:41.488745000,11.466666666666667,36.636250000000004,1.3953488372093024,1.75
c_100,"(29, 35]",30,m,222.87,3,6,2021-04-20 05:26:43.133053,2021-04,314 days 18:33:14.907419000,10.466666666666667,74.29,0.28662420382165604,2.0
c_1000,"(53, 59]",56,f,980.0200000000004,42,56,2021-03-13 13:34:14.618755,2021-03,352 days 10:25:43.421717000,11.733333333333333,23.333809523809535,3.5795454545454546,1.3333333333333333
c_1001,"(35, 41]",40,m,1102.45,24,58,2021-03-07 13:01:15.964197,2021-03,358 days 10:58:42.076275000,11.933333333333334,45.93541666666667,2.011173184357542,2.4166666666666665
c_1002,"(35, 41]",40,f,298.65000000000003,11,24,2021-04-02 22:33:56.033965,2021-04,332 days 01:26:02.006507000,11.066666666666666,27.150000000000002,0.9939759036144579,2.1818181818181817
c_1003,"(35, 41]",40,m,552.6700000000001,21,49,2021-03-07 23:11:21.412403,2021-03,358 days 00:48:36.628069000,11.933333333333334,26.31761904761905,1.759776536312849,2.3333333333333335
c_1004,"(47, 53]",49,m,520.23,18,37,2021-03-02 21:48:09.056146,2021-03,363 days 02:11:48.984326000,12.1,28.901666666666667,1.4876033057851241,2.0555555555555554
c_1005,"(77, 83]",81,f,476.67,15,32,2021-03-07 01:29:23.941625,2021-03,358 days 22:30:34.098847000,11.933333333333334,31.778000000000002,1.2569832402234637,2.1333333333333333
c_1006,"(41, 47]",43,m,1925.4899999999998,63,143,2021-03-09 19:16:13.573155,2021-03,356 days 04:43:44.467317000,11.866666666666667,30.56333333333333,5.308988764044944,2.2698412698412698
c_1007,"(77, 83]",81,f,299.34000000000003,11,15,2021-04-23 21:16:56.957391,2021-04,311 days 02:43:01.083081000,10.366666666666667,27.212727272727275,1.0610932475884245,1.3636363636363635
